"DataSet","Location_ID","DateDesc","Longitude","Latitude","labCnt"
"BM","AGO_AGO_1","None",146.6456,-32.91,165
"BM","AGO_AGO_10h","None",147.5631,-32.2037,165
"BM","AGO_AGO_10m","None",147.5631,-32.2037,165
"BM","AGO_AGO_11","None",147.5637,-32.2048,165
"BM","AGO_AGO_12","None",146.9449,-31.2373,165
"BM","AGO_AGO_13","None",146.9459,-31.2369,149
"BM","AGO_AGO_14","None",147.1149,-31.6088,165
"BM","AGO_AGO_15","None",147.1172,-31.6057,165
"BM","AGO_AGO_16","None",148.7278,-31.1723,165
"BM","AGO_AGO_17","None",148.7252,-31.1736,165
"BM","AGO_AGO_18","None",148.0936,-30.1375,150
"BM","AGO_AGO_19","None",148.0895,-30.1373,180
"BM","AGO_AGO_2","None",146.6447,-32.9121,165
"BM","AGO_AGO_20","None",147.8458,-30.0414,150
"BM","AGO_AGO_21","None",148.8458,-30.0402,165
"BM","AGO_AGO_22","None",148.0939,-30.1357,135
"BM","AGO_AGO_3","None",146.5718,-32.8529,165
"BM","AGO_AGO_4","None",146.5713,-32.8529,165
"BM","AGO_AGO_5","None",146.6411,-32.6566,165
"BM","AGO_AGO_6","None",146.6412,-32.6599,165
"BM","AGO_AGO_7","None",146.6409,-32.6578,165
"BM","AGO_AGO_8","None",147.3348,-32.2241,165
"BM","AGO_AGO_9","None",147.3359,-32.2243,164
"BM","Forrest_Forrest_1","None",142.22,-36.37,18
"BM","Forrest_Forrest_10","None",147.18,-33.2,18
"BM","Forrest_Forrest_11","None",147.17,-33.5,18
"BM","Forrest_Forrest_12","None",147.13,-32.59,18
"BM","Forrest_Forrest_13","None",147.19,-35.3,18
"BM","Forrest_Forrest_14","None",147.21,-35.2,18
"BM","Forrest_Forrest_15","None",147.28,-35.11,18
"BM","Forrest_Forrest_16","None",147.31,-34.24,18
"BM","Forrest_Forrest_17","None",147.32,-34.24,18
"BM","Forrest_Forrest_18","None",147.34,-34.23,18
"BM","Forrest_Forrest_19","None",147.19,-34.54,12
"BM","Forrest_Forrest_2","None",142.22,-36.36,12
"BM","Forrest_Forrest_20","None",147.19,-34.56,12
"BM","Forrest_Forrest_21","None",147.19,-34.55,12
"BM","Forrest_Forrest_22","None",147.2,-34.54,12
